dailyListDatetime,dailyListReasonDescription,newSymbolCode,oldSymbolCode,newSecurityDescription,oldSecurityDescription,exDate,commentText,newMarketCategoryCode,oldMarketCategoryCode,newOATSReportableFlag,oldOATSReportableFlag,newRoundLotQuantity,oldRoundLotQuantity,newRegFeeFlag,oldRegFeeFlag,newClassText,oldClassText,newFinancialStatusCode,oldFinancialStatusCode,subjectCorporateActionCode,newADROrdnyShareRate,oldADROrdinaryShareRate,newMaturityExpirationDate,oldMaturityExpirationDate,offeringTypeDescription,forwardSplitRate,reverseSplitRate,dividendTypeCode,stockPercentage,cashAmountText,declarationDate,recordDate,paymentDate,paymentMethodCode,ADRFeeAmount,ADRTaxReliefAmount,ADRGrossRate,ADRNetRate,ADRIssuanceFeeAmount,ADRWitholdingTaxPercentage,qualifiedDividendDescription
2025-02-05 19:26:36+05:30,Addition,,PNDRY,,Pandora A/S American Depositary Receipts - Unsponsored,2025-02-06 00:00:00.0,,,u,,Y,,100,,Y,,,,,,,8:1,,,No Restrictions,,,,,,,,,,,,,,,,
2025-02-05 19:26:30+05:30,Sponsored to Unsponsored Conversion,,PANDY,,Pandora A/S American Depositary Receipts - Sponsored,2025-02-06 00:00:00.0,"The Pandora A/S Sponsored program is being terminated Effective 2/5/25 COB. JPMorgan Chase Bank, N.A. will establish an unsponsored American depositary receipt program (Pandora A/S Unsponsored DR) effective 2/6/25. All of the remaining Pandora A/S sponsored ADSs shall be cancelled and unsponsored Pandora A/S ADSs shall be issued in respect thereof, at a rate of 2 Pandora A/S unsponsored ADSs for every 1 sponsored Pandora A/S ADS held. Cancellation fee per ADS:$0.05. Unsponsored Symbol: PNDRY.",,u,,Y,,100,,Y,,,,,,,,,,No Restrictions,,,,,,,,,,,,,,,,
